t,alpha,v,a
0,0.5,0.05,1.0
1,0.5,0.09875,0.975
2,0.5,0.14628125,0.950625
3,0.5,0.19262421875000002,0.926859375
4,0.5,0.23780861328125003,0.903687890625
5,0.5,0.2818633979492188,0.881095693359375
6,0.5,0.3248168130004883,0.8590683010253906
7,0.5,0.3666963926754761,0.8375915934997559
8,0.5,0.4075289828585892,0.816651803662262
9,0.5,0.44734075828712444,0.7962355085707054
10,0.5,0.4861572393299463,0.7763296208564378
11,0.5,0.5240033083466976,0.7569213803350269
12,0.5,0.5609032256380302,0.7379983458266512
13,0.5,0.5968806449970794,0.7195483871809849
14,0.5,0.6319586288721524,0.7015596775014603
15,0.5,0.6661596631503486,0.6840206855639238
16,0.5,0.6995056715715898,0.6669201684248257
17,0.5,0.7320180297823001,0.6502471642142051
18,0.5,0.7637175790377426,0.6339909851088499
19,0.5,0.7946246395617991,0.6181412104811287
20,0.5,0.8247590235727541,0.6026876802191005
21,0.5,0.8541400479834352,0.5876204882136229
22,0.5,0.8827865467838494,0.5729299760082824
23,0.5,0.9107168831142531,0.5586067266080753
24,0.5,0.9379489610363968,0.5446415584428734
25,0.5,0.9645002370104869,0.5310255194818017
26,0.5,0.9903877310852247,0.5177498814947565
27,0.5,1.0156280378080942,0.5048061344573876
28,0.5,1.0402373368628919,0.4921859810959529
29,0.5,1.0642314034413196,0.47988133156855406
30,0.5,1.0876256183552866,0.4678842982793402
31,0.5,1.1104349778964044,0.4561871908223567
32,0.5,1.1326741034489944,0.4447825110517978
33,0.5,1.1543572508627695,0.4336629482755028
34,0.5,1.1754983195912003,0.42282137456861524
35,0.5,1.1961108616014202,0.41225084020439984
36,0.5,1.2162080900613848,0.4019445691992899
37,0.5,1.2358028878098501,0.3918959549693076
38,0.5,1.2549078156146038,0.3820985560950749
39,0.5,1.2735351202242386,0.3725460921926981
40,0.5,1.2916967422186327,0.3632324398878807
41,0.5,1.309404323663167,0.35415162889068363
42,0.5,1.3266692155715878,0.3452978381684165
43,0.5,1.343502485182298,0.3366653922142061
44,0.5,1.3599149230527405,0.32824875740885096
45,0.5,1.375917049976422,0.32004253847362973
46,0.5,1.3915191237270115,0.312041475011789
47,0.5,1.4067311456338363,0.30424043813649426
48,0.5,1.4215628669929903,0.29663442718308186
49,0.5,1.4360237953181656,0.28921856650350486
50,0.5,1.4501232004352114,0.2819881023409172
51,0.5,1.4638701204243312,0.2749383997823943
52,0.5,1.4772733674137228,0.2680649397878344
53,0.5,1.4903415332283798,0.2613633162931386
54,0.5,1.5030829948976703,0.2548292333858101
55,0.5,1.5155059200252285,0.24845850255116486
56,0.5,1.5276182720245979,0.24224703998738573
57,0.5,1.5394278152239829,0.23619086398770106
58,0.5,1.5509421198433833,0.23028609238800857
59,0.5,1.5621685668472987,0.22452894007830837
60,0.5,1.5731143526761162,0.21891571657635067
61,0.5,1.5837864938592132,0.2134428236619419
62,0.5,1.5941918315127328,0.2081067530703934
63,0.5,1.6043370357249145,0.2029040842436336
64,0.5,1.6142286098317917,0.19783148213754276
65,0.5,1.623872894585997,0.19288569508410414
66,0.5,1.633276072221347,0.18806355270700148
67,0.5,1.6424441704158135,0.18336196388932646
68,0.5,1.651383066155418,0.17877791479209326
69,0.5,1.6600984895015327,0.17430846692229096
70,0.5,1.6685960272639944,0.16995075524923364
71,0.5,1.6768811265823944,0.16570198636800282
72,0.5,1.6849590984178346,0.1615594367088028
73,0.5,1.6928351209573889,0.15752045079108268
74,0.5,1.700514242933454,0.15358243952130557
75,0.5,1.7080013868601178,0.14974287853327295
76,0.5,1.715301352188615,0.1459993065699411
77,0.5,1.7224188183838995,0.14234932390569255
78,0.5,1.729358347924302,0.13879059080805023
79,0.5,1.7361243892261944,0.135320826037849
80,0.5,1.7427212794955396,0.1319378053869028
81,0.5,1.749153247508151,0.12863936025223022
82,0.5,1.7554244163204473,0.12542337624592448
83,0.5,1.7615388059124362,0.12228779183977634
84,0.5,1.7675003357646253,0.11923059704378192
85,0.5,1.7733128273705097,0.11624983211768736
86,0.5,1.778980006686247,0.11334358631474517
87,0.5,1.7845055065190907,0.11050999665687655
88,0.5,1.7898928688561133,0.10774724674045466
89,0.5,1.7951455471347104,0.10505356557194334
90,0.5,1.8002669084563427,0.10242722643264479
91,0.5,1.805260235744934,0.09986654577182863
92,0.5,1.8101287298513107,0.09736988212753295
93,0.5,1.814875511605028,0.09493563507434466
94,0.5,1.8195036238149023,0.09256224419748604
95,0.5,1.8240160332195297,0.09024818809254886
96,0.5,1.8284156323890415,0.08799198339023517
97,0.5,1.8327052415793155,0.08579218380547926
98,0.5,1.8368876105398326,0.08364737921034227
99,0.5,1.8409654202763368,0.08155619473008369
100,0.5,1.8449412847694284,0.0795172898618316
101,0.5,1.8488177526501928,0.07752935761528579
102,0.5,1.852597308833938,0.07559112367490362
103,0.5,1.8562823761130895,0.07370134558303099
104,0.5,1.8598753167102624,0.07185881194345523
105,0.5,1.863378433792506,0.0700623416448688
106,0.5,1.8667939729476932,0.06831078310374705
107,0.5,1.870124123624001,0.06660301352615339
108,0.5,1.8733710205334009,0.06493793818799953
109,0.5,1.8765367450200658,0.06331448973329956
110,0.5,1.8796233263945643,0.06173162748996708
111,0.5,1.8826327432347,0.060188336802717846
112,0.5,1.8855669246538327,0.058683628382649955
113,0.5,1.8884277515374868,0.057216537673083656
114,0.5,1.8912170577490497,0.05578612423125662
115,0.5,1.8939366313053234,0.054391471125475155
116,0.5,1.8965882155226903,0.05303168434733829
117,0.5,1.899173510134623,0.05170589223865485
118,0.5,1.9016941723812575,0.050413244932688506
119,0.5,1.904151818071726,0.04915291380937126
120,0.5,1.906548022619933,0.04792409096413697
121,0.5,1.9088843220544347,0.046725988690033526
122,0.5,1.9111622140030737,0.04555783897278265
123,0.5,1.9133831586529968,0.04441889299846313
124,0.5,1.9155485796866718,0.0433084206735016
125,0.5,1.917659865194505,0.0422257101566641
126,0.5,1.9197183685646424,0.041170067402747534
127,0.5,1.9217254093505263,0.0401408157176788
128,0.5,1.9236822741167632,0.039137295324736865
129,0.5,1.9255902172638442,0.03815886294161841
130,0.5,1.927450461832248,0.03720489136807792
131,0.5,1.929264200286442,0.036274769083875946
132,0.5,1.9310325952792808,0.03536789985677902
133,0.5,1.932756780397299,0.03448370236035958
134,0.5,1.9344378608873665,0.03362160980135054
135,0.5,1.9360769143651824,0.032781069556316766
136,0.5,1.9376749915060527,0.03196154281740882
137,0.5,1.9392331167184014,0.031162504246973644
138,0.5,1.9407522888004414,0.030383441640799314
139,0.5,1.9422334815804303,0.029623855599779314
140,0.5,1.9436776445409196,0.02888325920978485
141,0.5,1.9450857034273967,0.028161177729540188
142,0.5,1.9464585608417118,0.027457148286301636
143,0.5,1.947797096820669,0.02677071957914412
144,0.5,1.9491021694001522,0.02610145158966548
145,0.5,1.9503746151651484,0.02544891529992388
146,0.5,1.9516152497860197,0.024812692417425786
147,0.5,1.9528248685413692,0.024192375106990127
148,0.5,1.954004246827835,0.02358756572931542
149,0.5,1.955154140657139,0.022997876586082544
150,0.5,1.9562752871407105,0.022422929671430447
151,0.5,1.9573684049621927,0.021862356429644736
152,0.5,1.9584341948381379,0.021315797518903667
153,0.5,1.9594733399671844,0.020782902580931073
154,0.5,1.9604865064680048,0.020263330016407788
155,0.5,1.9614743438063047,0.01975674676599759
156,0.5,1.962437485211147,0.01926282809684765
157,0.5,1.9633765480808683,0.018781257394426487
158,0.5,1.9642921343788466,0.018311725959565872
159,0.5,1.9651848310193756,0.017853932810576678
160,0.5,1.9660552102438913,0.01740758449031221
161,0.5,1.9669038299877941,0.016972394878054353
162,0.5,1.9677312342380993,0.01654808500610294
163,0.5,1.9685379533821468,0.01613438288095037
164,0.5,1.9693245045475931,0.015731023308926617
165,0.5,1.9700913919339034,0.015337747726203443
166,0.5,1.9708391071355558,0.014954304033048316
167,0.5,1.971568129457167,0.014580446432222116
168,0.5,1.9722789262207379,0.014215935271416513
169,0.5,1.9729719530652194,0.01386053688963107
170,0.5,1.973647654238589,0.01351402346739028
171,0.5,1.9743064628826243,0.013176172880705495
172,0.5,1.9749488013105587,0.012846768558687827
173,0.5,1.9755750812777948,0.01252559934472064
174,0.5,1.97618570424585,0.012212459361102601
175,0.5,1.9767810616397037,0.01190714787707503
176,0.5,1.977361535098711,0.011609469180148158
177,0.5,1.9779274967212432,0.011319232450644479
178,0.5,1.9784793093032123,0.01103625163937838
179,0.5,1.979017326570632,0.010760345348393874
180,0.5,1.979541893406366,0.010491336714684052
181,0.5,1.9800533460712069,0.010229053296817003
182,0.5,1.9805520124194267,0.009973326964396567
183,0.5,1.981038212108941,0.009723993790286656
184,0.5,1.9815122568062173,0.009480893945529534
185,0.5,1.981974450386062,0.009243871596891329
186,0.5,1.9824250891264104,0.009012774806969048
187,0.5,1.98286446189825,0.008787455436794822
188,0.5,1.9832928503507938,0.008567769050874974
189,0.5,1.983710529092024,0.008353574824603083
190,0.5,1.9841177658647235,0.008144735453987972
191,0.5,1.9845148217181054,0.007941117067638226
192,0.5,1.984901951175153,0.007742589140947276
193,0.5,1.985279402395774,0.007549024412423555
194,0.5,1.9856474173358798,0.0073602988021129745
195,0.5,1.9860062319024827,0.007176291332060103
196,0.5,1.9863560761049206,0.006996884048758645
197,0.5,1.9866971742022976,0.006821961947539701
198,0.5,1.9870297448472403,0.006651412898851183
199,0.5,1.9873540012260593,0.006485127576379868
